ProcessName,RegionName,Time,Level,CO2c,CO2f,ELC,BIOPEL,NGS,WSTORG,WSTINO,HYG
Unit,-,Year,-,kt/PJ,kt/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ
HYG_BIOPEL_GAS_001,R1,2020,fixed,0,0,0,1.444193141,0,0,0,0
HYG_BIOPEL_GAS_001,R1,2025,fixed,0,0,0,1.43139685,0,0,0,0
HYG_BIOPEL_GAS_001,R1,2030,fixed,0,0,0,1.4161008,0,0,0,0
HYG_BIOPEL_GAS_001,R1,2035,fixed,0,0,0,1.390813286,0,0,0,0
HYG_BIOPEL_GAS_001,R1,2040,fixed,0,0,0,1.390813286,0,0,0,0
HYG_BIOPEL_GAS_001,R1,2045,fixed,0,0,0,1.366413053,0,0,0,0
HYG_BIOPEL_GAS_001,R1,2050,fixed,0,0,0,1.366413053,0,0,0,0
HYG_BIOPEL_GAS_C_001,R1,2020,fixed,0,0,0,1.569775153,0,0,0,0
HYG_BIOPEL_GAS_C_001,R1,2025,fixed,0,0,0,1.555866141,0,0,0,0
HYG_BIOPEL_GAS_C_001,R1,2030,fixed,0,0,0,1.53924,0,0,0,0
HYG_BIOPEL_GAS_C_001,R1,2035,fixed,0,0,0,1.511753571,0,0,0,0
HYG_BIOPEL_GAS_C_001,R1,2040,fixed,0,0,0,1.511753571,0,0,0,0
HYG_BIOPEL_GAS_C_001,R1,2045,fixed,0,0,0,1.485231579,0,0,0,0
HYG_BIOPEL_GAS_C_001,R1,2050,fixed,0,0,0,1.485231579,0,0,0,0
HYG_NGS_SMR_001,R1,2020,fixed,0,0,0,0,1.329409598,0,0,0
HYG_NGS_SMR_001,R1,2025,fixed,0,0,0,0,1.320664385,0,0,0
HYG_NGS_SMR_001,R1,2030,fixed,0,0,0,0,1.311976701,0,0,0
HYG_NGS_SMR_001,R1,2035,fixed,0,0,0,0,1.303346167,0,0,0
HYG_NGS_SMR_001,R1,2040,fixed,0,0,0,0,1.294772407,0,0,0
HYG_NGS_SMR_001,R1,2045,fixed,0,0,0,0,1.286255047,0,0,0
HYG_NGS_SMR_001,R1,2050,fixed,0,0,0,0,1.2903,0,0,0
HYG_NGS_SMR_C_001,R1,2020,fixed,0,0,0,0,1.36,0,0,0
HYG_NGS_SMR_C_001,R1,2025,fixed,0,0,0,0,1.36,0,0,0
HYG_NGS_SMR_C_001,R1,2030,fixed,0,0,0,0,1.36,0,0,0
HYG_NGS_SMR_C_001,R1,2035,fixed,0,0,0,0,1.36,0,0,0
HYG_NGS_SMR_C_001,R1,2040,fixed,0,0,0,0,1.36,0,0,0
HYG_NGS_SMR_C_001,R1,2045,fixed,0,0,0,0,1.36,0,0,0
HYG_NGS_SMR_C_001,R1,2050,fixed,0,0,0,0,1.36,0,0,0
HYG_NGS_ATR_C_001,R1,2020,fixed,0,0,0.059,0,1.197,0,0,0
HYG_NGS_ATR_C_001,R1,2025,fixed,0,0,0.059,0,1.197,0,0,0
HYG_NGS_ATR_C_001,R1,2030,fixed,0,0,0.059,0,1.197,0,0,0
HYG_NGS_ATR_C_001,R1,2035,fixed,0,0,0.059,0,1.197,0,0,0
HYG_NGS_ATR_C_001,R1,2040,fixed,0,0,0.059,0,1.197,0,0,0
HYG_NGS_ATR_C_001,R1,2045,fixed,0,0,0.059,0,1.197,0,0,0
HYG_NGS_ATR_C_001,R1,2050,fixed,0,0,0.059,0,1.197,0,0,0
HYG_NGS_ATR_C_002,R1,2020,fixed,0,0,0.042,0,1.115,0,0,0
HYG_NGS_ATR_C_002,R1,2025,fixed,0,0,0.042,0,1.115,0,0,0
HYG_NGS_ATR_C_002,R1,2030,fixed,0,0,0.042,0,1.115,0,0,0
HYG_NGS_ATR_C_002,R1,2035,fixed,0,0,0.042,0,1.115,0,0,0
HYG_NGS_ATR_C_002,R1,2040,fixed,0,0,0.042,0,1.115,0,0,0
HYG_NGS_ATR_C_002,R1,2045,fixed,0,0,0.042,0,1.115,0,0,0
HYG_NGS_ATR_C_002,R1,2050,fixed,0,0,0.042,0,1.115,0,0,0
HYG_ELC_PEM_001,R1,2020,fixed,0,0,1.397,0,0,0,0,0
HYG_ELC_PEM_001,R1,2025,fixed,0,0,1.3208,0,0,0,0,0
HYG_ELC_PEM_001,R1,2030,fixed,0,0,1.27,0,0,0,0,0
HYG_ELC_PEM_001,R1,2035,fixed,0,0,1.25095,0,0,0,0,0
HYG_ELC_PEM_001,R1,2040,fixed,0,0,1.2319,0,0,0,0,0
HYG_ELC_PEM_001,R1,2045,fixed,0,0,1.22555,0,0,0,0,0
HYG_ELC_PEM_001,R1,2050,fixed,0,0,1.2192,0,0,0,0,0
HYG_ELC_ALK_001,R1,2020,fixed,0,0,1.2954,0,0,0,0,0
HYG_ELC_ALK_001,R1,2025,fixed,0,0,1.27,0,0,0,0,0
HYG_ELC_ALK_001,R1,2030,fixed,0,0,1.25095,0,0,0,0,0
HYG_ELC_ALK_001,R1,2035,fixed,0,0,1.241425,0,0,0,0,0
HYG_ELC_ALK_001,R1,2040,fixed,0,0,1.2319,0,0,0,0,0
HYG_ELC_ALK_001,R1,2045,fixed,0,0,1.22555,0,0,0,0,0
HYG_ELC_ALK_001,R1,2050,fixed,0,0,1.2192,0,0,0,0,0
HYG_ELC_SOE_001,R1,2020,fixed,0,0,0.9906,0,0,0,0,0
HYG_ELC_SOE_001,R1,2025,fixed,0,0,0.95885,0,0,0,0,0
HYG_ELC_SOE_001,R1,2030,fixed,0,0,0.93345,0,0,0,0,0
HYG_ELC_SOE_001,R1,2035,fixed,0,0,0.917575,0,0,0,0,0
HYG_ELC_SOE_001,R1,2040,fixed,0,0,0.9017,0,0,0,0,0
HYG_ELC_SOE_001,R1,2045,fixed,0,0,0.89535,0,0,0,0,0
HYG_ELC_SOE_001,R1,2050,fixed,0,0,0.889,0,0,0,0,0
HYG_WSTORG_GAS_001,R1,2020,fixed,0,0,0,0,0,1.604659046,0,0
HYG_WSTORG_GAS_001,R1,2025,fixed,0,0,0,0,0,1.590440945,0,0
HYG_WSTORG_GAS_001,R1,2030,fixed,0,0,0,0,0,1.573445333,0,0
HYG_WSTORG_GAS_001,R1,2035,fixed,0,0,0,0,0,1.545348095,0,0
HYG_WSTORG_GAS_001,R1,2040,fixed,0,0,0,0,0,1.545348095,0,0
HYG_WSTORG_GAS_001,R1,2045,fixed,0,0,0,0,0,1.518236725,0,0
HYG_WSTORG_GAS_001,R1,2050,fixed,0,0,0,0,0,1.518236725,0,0
HYG_WSTORG_GAS_C_001,R1,2020,fixed,0,0,0,0,0,1.782954495,0,0
HYG_WSTORG_GAS_C_001,R1,2025,fixed,0,0,0,0,0,1.767156605,0,0
HYG_WSTORG_GAS_C_001,R1,2030,fixed,0,0,0,0,0,1.748272593,0,0
HYG_WSTORG_GAS_C_001,R1,2035,fixed,0,0,0,0,0,1.717053439,0,0
HYG_WSTORG_GAS_C_001,R1,2040,fixed,0,0,0,0,0,1.717053439,0,0
HYG_WSTORG_GAS_C_001,R1,2045,fixed,0,0,0,0,0,1.686929695,0,0
HYG_WSTORG_GAS_C_001,R1,2050,fixed,0,0,0,0,0,1.686929695,0,0
HYG_WSTINO_GAS_001,R1,2020,fixed,0,0,0,0,0,0,1.604659046,0
HYG_WSTINO_GAS_001,R1,2025,fixed,0,0,0,0,0,0,1.590440945,0
HYG_WSTINO_GAS_001,R1,2030,fixed,0,0,0,0,0,0,1.573445333,0
HYG_WSTINO_GAS_001,R1,2035,fixed,0,0,0,0,0,0,1.545348095,0
HYG_WSTINO_GAS_001,R1,2040,fixed,0,0,0,0,0,0,1.545348095,0
HYG_WSTINO_GAS_001,R1,2045,fixed,0,0,0,0,0,0,1.518236725,0
HYG_WSTINO_GAS_001,R1,2050,fixed,0,0,0,0,0,0,1.518236725,0
HYG_WSTINO_GAS_C_001,R1,2020,fixed,0,0,0,0,0,0,1.782954495,0
HYG_WSTINO_GAS_C_001,R1,2025,fixed,0,0,0,0,0,0,1.767156605,0
HYG_WSTINO_GAS_C_001,R1,2030,fixed,0,0,0,0,0,0,1.748272593,0
HYG_WSTINO_GAS_C_001,R1,2035,fixed,0,0,0,0,0,0,1.717053439,0
HYG_WSTINO_GAS_C_001,R1,2040,fixed,0,0,0,0,0,0,1.717053439,0
HYG_WSTINO_GAS_C_001,R1,2045,fixed,0,0,0,0,0,0,1.686929695,0
HYG_WSTINO_GAS_C_001,R1,2050,fixed,0,0,0,0,0,0,1.686929695,0