ProcessName,RegionName,Unit,2020,2025,2030,2035,2040,2045,2050
HYG_BIOPEL_GAS_001,R1,PJ/y,0,0,0,0,0,0,0
HYG_BIOPEL_GAS_C_001,R1,PJ/y,0,0,0,0,0,0,0
HYG_NGS_SMR_001,R1,PJ/y,0.1,0,0,0,0,0,0
HYG_NGS_SMR_C_001,R1,PJ/y,0,0,0,0,0,0,0
HYG_NGS_ATR_C_001,R1,PJ/y,0,0,0,0,0,0,0
HYG_NGS_ATR_C_002,R1,PJ/y,0,0,0,0,0,0,0
HYG_ELC_PEM_001,R1,PJ/y,0,0,0,0,0,0,0
HYG_ELC_ALK_001,R1,PJ/y,0,0,0,0,0,0,0
HYG_ELC_SOE_001,R1,PJ/y,0,0,0,0,0,0,0
HYG_WSTORG_GAS_001,R1,PJ/y,0,0,0,0,0,0,0
HYG_WSTORG_GAS_C_001,R1,PJ/y,0,0,0,0,0,0,0
HYG_WSTINO_GAS_001,R1,PJ/y,0,0,0,0,0,0,0
HYG_WSTINO_GAS_C_001,R1,PJ/y,0,0,0,0,0,0,0